difference,count
0,1
2,400
4,413
6,831
8,405
10,533
12,833
14,466
16,415
18,792
20,495
22,453
24,747
26,359
28,460
30,944
32,335
34,388
36,686
38,373
40,477
42,818
44,378
46,327
48,652
50,422
52,369
54,601
56,333
58,324
60,809
62,303
64,299
66,650
68,318
70,511
72,554
74,324
76,297
78,642
80,370
82,297
84,580
86,275
88,290
90,718
92,266
94,273
96,488
98,327
100,334
102,510
104,276
106,237
108,518
110,364
112,280
114,483
116,243
118,239
120,570
122,216
124,214
126,524
128,220
130,294
132,456
134,193
136,226
138,418
140,323
142,192
144,360
146,178
148,180
150,492
152,186
154,242
156,397
158,184
160,234
162,346
164,181
166,186
168,417
170,285
172,169
174,337
176,180
178,178
180,422
182,219
184,139
186,296
188,150
190,194
192,291
194,143
196,185
198,351
200,190
202,145
204,275
206,152
208,146
210,456
212,143
214,125
216,256
218,132
220,162
222,261
224,141
226,115
228,229
230,152
232,124
234,261
236,117
238,136
240,285
242,124
244,103
246,199
248,96
250,118
252,239
254,112
256,107
258,217
260,143
262,84
264,245
266,120
268,97
270,278
272,80
274,97
276,174
278,89
280,126
282,178
284,83
286,100
288,172
290,125
292,89
294,178
296,90
298,75
300,231
302,67
304,80
306,145
308,104
310,98
312,141
314,74
316,70
318,147
320,109
322,97
324,138
326,54
328,73
330,191
332,69
334,75
336,166
338,72
340,96
342,120
344,74
346,47
348,139
350,115
352,76
354,126
356,55
358,57
360,138
362,62
364,59
366,100
368,49
370,80
372,101
374,58
376,54
378,107
380,63
382,53
384,92
386,46
388,48
390,140
392,62
394,28
396,112
398,35
400,56
402,92
404,42
406,55
408,89
410,63
412,37
414,86
416,37
418,49
420,111
422,30
424,49
426,71
428,44
430,46
432,75
434,49
436,35
438,73
440,58
442,41
444,65
446,27
448,48
450,80
452,28
454,33
456,70
458,32
460,38
462,81
464,30
466,23
468,60
470,44
472,26
474,55
476,29
478,27
480,76
482,31
484,25
486,59
488,29
490,42
492,60
494,28
496,27
498,50
500,24
502,24
504,60
506,25
508,19
510,55
512,20
514,24
516,55
518,27
520,29
522,35
524,23
526,29
528,52
530,17
532,23
534,43
536,23
538,28
540,52
542,18
544,27
546,57
548,17
550,29
552,40
554,12
556,10
558,39
560,28
562,19
564,46
566,17
568,11
570,42
572,27
574,23
576,36
578,16
580,32
582,30
584,20
586,17
588,35
590,18
592,22
594,27
596,22
598,15
600,32
602,12
604,12
606,28
608,12
610,14
612,22
614,12
616,7
618,13
620,24
622,12
624,33
626,18
628,10
630,38
632,5
634,20
636,19
638,13
640,15
642,20
644,19
646,13
648,14
650,7
652,13
654,27
656,15
658,13
660,34
662,10
664,8
666,19
668,8
670,16
672,15
674,8
676,7
678,13
680,10
682,7
684,21
686,9
688,11
690,12
692,6
694,8
696,11
698,13
700,8
702,19
704,14
706,3
708,17
710,5
712,6
714,22
716,6
718,8
720,28
722,9
724,9
726,15
728,6
730,13
732,13
734,5
736,7
738,17
740,8
742,3
744,9
746,9
748,3
750,20
752,6
754,6
756,15
758,1
760,3
762,10
764,7
766,5
768,18
770,12
772,3
774,14
776,1
778,10
780,15
782,5
784,6
786,13
788,8
790,6
792,8
794,3
796,2
798,8
800,11
802,2
804,14
806,6
808,4
810,11
812,3
814,4
816,5
818,5
820,6
822,8
824,8
826,6
828,10
830,7
832,2
834,8
836,6
838,6
840,13
842,5
844,3
846,9
848,3
850,7
852,3
854,8
856,3
858,10
860,5
862,6
864,2
866,5
868,9
870,7
874,5
876,4
878,4
880,7
882,7
884,5
888,11
890,2
892,3
894,9
896,1
898,2
900,3
902,6
904,2
906,5
908,2
910,5
912,4
914,1
916,1
918,2
920,1
924,4
926,1
928,3
930,4
934,3
936,5
938,5
940,1
942,1
944,3
946,1
948,3
950,2
952,5
954,1
958,1
960,2
962,4
964,5
966,4
968,1
970,4
972,12
978,5
980,3
982,2
984,3
986,1
988,3
990,2
994,2
998,2
1002,2
1004,2
1008,2
1010,2
1014,2
1016,1
1018,1
1020,3
1022,2
1024,1
1028,3
1030,5
1032,1
1034,2
1038,7
1040,2
1042,1
1044,2
1048,2
1050,1
1052,1
1056,2
1058,1
1060,1
1066,2
1068,5
1070,2
1072,2
1078,2
1080,3
1082,1
1084,2
1086,1
1088,1
1090,1
1092,2
1094,3
1096,1
1098,3
1100,2
1102,1
1110,2
1112,1
1114,1
1116,1
1118,1
1124,1
1128,1
1130,2
1132,2
1140,1
1144,1
1148,1
1150,2
1152,1
1156,1
1158,1
1160,1
1162,2
1164,3
1170,1
1172,1
1176,1
1180,2
1182,1
1188,1
1190,2
1192,1
1200,2
1208,1
1210,2
1212,1
1214,1
1220,1
1224,1
1228,2
1230,1
1232,1
1236,1
1240,1
1256,1
1262,1
1270,1
1278,1
1284,1
1288,1
1302,1
1304,1
1310,1
1314,1
1320,1
1322,2
1324,1
1336,1
1380,1
1386,1
1400,1
1412,1
1422,1
1440,1
1450,1
1470,1
1492,1
1494,1
1512,1
1524,1
1530,1
1576,1
1602,1
1638,1
1778,1
1892,1
